Datei;Kategorie;Zeilen;Status;Marker;MarkerAnzahl;DummyReturns;NotImplemented;Referenzen;TestReferenz;Beleg;Hinweis
scripts/verify_release_artifacts.py;Build/CI;203;REAL;STUB:7 STUB:80 STUB:186;3;1;0;3;ja;* das APK ein Offline-Stub ist (kein ``lib/<abi>/libkaoss_native.so`` oder kein;"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
scripts/verify_gradle_wrapper.py;Build/CI;65;REAL;;0;1;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
scripts/run_ui_tests.sh;Build/CI;30;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
scripts/package_web_pwa.sh;Build/CI;24;REAL;;0;0;0;2;nein;;
scripts/install_toolchains.sh;Build/CI;60;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
scripts/generate_sbom.py;Build/CI;78;REAL;;0;1;0;2;ja;;von Test referenziert
scripts/fetch_gradle_wrapper.sh;Build/CI;34;REAL;;0;0;0;1;nein;;
scripts/dsp_parity_vectors.py;Build/CI;219;REAL;;0;1;0;2;ja;;von Test referenziert
scripts/create_universal_dmg.sh;Build/CI;5;REAL;;0;0;0;1;nein;;
scripts/build_wasm.sh;Build/CI;174;REAL;;0;2;0;8;ja;;von Test referenziert
scripts/build_signed_apk.py;Build/CI;747;REAL;STUB:5 PLACEHOLDER:654 PLACEHOLDER:675 DUMMY:706;4;2;0;0;nein;with binary AndroidManifest, stub DEX, PWA assets and native JNI sources.;"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); vom Tooling referenziert (Gradle/CMake/Actions)"
scripts/build_appimage.sh;Build/CI;10;REAL;;0;0;0;1;nein;;
package.json;Build/CI;16;REAL;;0;0;0;19;nein;;
package-lock.json;Build/CI;60;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
engines/whisper_offline/transcriber.py;Engine;41;REAL;;0;0;0;2;nein;;
engines/whisper_offline/tflite_runtime.py;Engine;55;REAL;;0;0;0;4;nein;;
engines/whisper_offline/rhyme_matrix.py;Engine;63;REAL;;0;0;0;3;nein;;
engines/usb_uac2.py;Engine;63;REAL;;0;0;0;9;nein;;
engines/session_engine.py;Engine;1425;REAL;SHIM:130 SHIM:912;2;2;0;9;ja;"ActionSpec(""transcribe"", ""whisper"", ""Offline Transkript (Whisper-Shim) erzeugen"", (""text"", ""signal"")";"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
engines/oboe_exclusive.py;Engine;51;REAL;;0;0;0;6;nein;;
engines/neurallift_360/midas.py;Engine;54;REAL;;0;0;0;5;nein;;
engines/mopac_dance_learner/pose.py;Engine;39;REAL;;0;0;0;6;nein;;
engines/localhost_ipc_suite.py;Engine;401;REAL;SHIM:43 SHIM:47;2;1;0;1;ja;"{""port"": 8081, ""name"": ""audio-loopback-daemon"", ""protocol"": ""TCP Float32 PCM"", ""latency"": ""0.4ms shi";"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
engines/local_audio_probe.py;Engine;50;REAL;;0;0;0;2;nein;;
engines/event_stream.py;Engine;117;REAL;;0;2;0;1;nein;;
engines/dsp_chain.py;Engine;360;REAL;;0;0;0;15;ja;;von Test referenziert
engines/device_matrix.py;Engine;127;REAL;;0;1;0;3;nein;;
engines/ble_codecs.py;Engine;30;REAL;;0;0;0;6;nein;;
engines/audio_capture.py;Engine;686;REAL;;0;16;0;3;nein;;
desktop/src/main.rs;Native;11;REAL;;0;0;0;54;nein;;
desktop/src/daemon_manager.rs;Native;16;REAL;;0;0;0;2;nein;;
desktop/src/audio_host.rs;Native;65;REAL;;0;0;0;3;nein;;
desktop/src-tauri/src/main.rs;Native;11;REAL;;0;0;0;54;nein;;
desktop/src-tauri/src/daemon_manager.rs;Native;16;REAL;;0;0;0;2;nein;;
desktop/src-tauri/src/audio_host.rs;Native;25;REAL;;0;0;0;2;nein;;
desktop/src-tauri/Cargo.toml;Build/CI;7;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
desktop/Cargo.toml;Build/CI;7;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
app.py;Quelle;1068;REAL;;0;6;0;64;ja;;von Test referenziert
android/settings.gradle.kts;Build/CI;4;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
android/build.gradle.kts;Build/CI;4;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
android/app/src/main/res/xml/network_security_config.xml;Build/CI;12;REAL;;0;0;0;1;nein;;
android/app/src/main/res/values/styles.xml;Build/CI;1;REAL;;0;0;0;5;nein;;
android/app/src/main/java/com/kaoss/studio/UsbUac2Client.kt;Native;23;REAL;;0;0;0;3;nein;;
android/app/src/main/java/com/kaoss/studio/MainActivity.kt;Native;126;REAL;;0;0;0;4;ja;;von Test referenziert
android/app/src/main/java/com/kaoss/studio/KaossNative.kt;Native;22;REAL;;0;0;0;7;ja;;von Test referenziert
android/app/src/main/java/com/kaoss/studio/KaossJsBridge.kt;Native;100;REAL;;0;0;0;2;ja;;von Test referenziert
android/app/src/main/java/com/kaoss/studio/BleCodecClient.kt;Native;14;REAL;;0;0;0;2;nein;;
android/app/src/main/java/com/kaoss/studio/AudioInputController.kt;Native;154;REAL;;0;0;0;3;ja;;von Test referenziert
android/app/src/main/cpp/oboe_exclusive_stream.cpp;Native;18;REAL;;0;0;0;2;nein;;
android/app/src/main/cpp/kaoss_quad_engine.cpp;Native;56;REAL;;0;0;0;8;ja;;von Test referenziert
android/app/src/main/cpp/kaoss_jni.cpp;Native;146;REAL;;0;0;0;1;ja;;von Test referenziert
android/app/src/main/cpp/kaoss_dsp_abi.cpp;Native;160;REAL;;0;7;0;7;ja;;von Test referenziert
android/app/src/main/cpp/kaoss_dsp.hpp;Native;78;REAL;;0;0;0;21;ja;;von Test referenziert
android/app/src/main/cpp/kaoss_audio_processor.hpp;Native;74;REAL;;0;0;0;7;nein;;
android/app/src/main/cpp/kaoss_audio_processor.cpp;Native;152;REAL;;0;0;0;6;ja;;von Test referenziert
android/app/src/main/cpp/dsp_transient_splitter.cpp;Native;61;REAL;;0;0;0;8;ja;;von Test referenziert
android/app/src/main/cpp/audio_input_engine.hpp;Native;68;REAL;;0;0;0;5;ja;;von Test referenziert
android/app/src/main/cpp/audio_input_engine.cpp;Native;157;REAL;;0;0;0;5;ja;;von Test referenziert
android/app/src/main/cpp/aaudio_input_engine.cpp;Native;115;REAL;;0;4;0;2;ja;;von Test referenziert
android/app/src/main/assets/www/sw.js;Web;4;REAL;;0;0;0;26;ja;;von Test referenziert
android/app/src/main/assets/www/src/styles.css;Web;129;REAL;;0;0;0;5;ja;;von Test referenziert
android/app/src/main/assets/www/src/dsp-core.js;Web;642;REAL;;0;0;0;13;ja;;von Test referenziert
android/app/src/main/assets/www/src/audio-engine.js;Web;269;REAL;;0;0;0;7;ja;;von Test referenziert
android/app/src/main/assets/www/src/app.js;Web;1233;REAL;SHIM:677 SHIM:678;2;0;0;64;ja;{ id: 'internal_mic', label: 'Internes Mikrofon', status: selected === 'internal_mic' ? 'LOCKED' : ';"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
android/app/src/main/assets/www/src/action-chain.js;Web;398;REAL;STUB:292;1;0;0;13;ja;* der POST gegen den One-App-Server, im Test ein Stub.;"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
android/app/src/main/assets/www/index.html;Web;222;REAL;SHIM:204;1;0;0;26;ja;"<output id=""transcribe-output"">OFFLINE WHISPER SHIM READY</output>";"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
android/app/src/main/AndroidManifest.xml;Build/CI;26;REAL;;0;0;0;4;ja;;von Test referenziert
android/app/build.gradle.kts;Build/CI;67;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
.github/workflows/release-publisher.yml;Build/CI;26;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
.github/workflows/multiplatform-ci-cd.yml;Build/CI;245;REAL;STUB:121;1;0;0;1;ja;"sys.exit(f""STUB rejected: {artifact} has_dex={has_dex} has_so={has_so}"")";"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
.github/workflows/audio-dsp-benchmark.yml;Build/CI;125;REAL;STUB:61;1;0;0;0;nein;- name: Web/UI contract + DOM-stub harness;"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); vom Tooling referenziert (Gradle/CMake/Actions)"
.github/workflows/android-signed-apk.yml;Build/CI;95;REAL;;0;0;0;0;nein;;vom Tooling referenziert (Gradle/CMake/Actions)
